Reading data file... Done.
After 28200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28300 generations, Best: 235, Worst: 555 delta: 320 Avg: 286.82
After 28400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 29900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 30900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31500 generations, Best: 235, Worst: 585 delta: 350 Avg: 280.99
After 31600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 31900 generations, Best: 235, Worst: 585 delta: 350 Avg: 278.37
After 32000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 32900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 33000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 33100 generations, Best: 235, Worst: 585 delta: 350 Avg: 282.43
After 33200 generations, Best: 235, Worst: 585 delta: 350 Avg: 280.46
After 33300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 33400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 33500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 33600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 33700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 33800 generations, Best: 235, Worst: 585 delta: 350 Avg: 280.18
After 33900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 34900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35000 generations, Best: 235, Worst: 585 delta: 350 Avg: 280.21
After 35100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 35900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36700 generations, Best: 235, Worst: 266 delta: 31 Avg: 239.79
After 36800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 36900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37300 generations, Best: 235, Worst: 251 delta: 16 Avg: 240.24
After 37400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 37800 generations, Best: 235, Worst: 585 delta: 350 Avg: 278.26
After 37900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 38000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 38100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 38200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 38300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 38400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 38500 generations, Best: 235, Worst: 580 delta: 345 Avg: 287.28
